iteration,strategy,rl_model,data_group,portfolio_values
103,ewc,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100113.094616
2022-01-05     99879.424712
2022-01-06    100006.923744
2022-01-07    100258.704305
                  ...      
2023-12-22     77470.521548
2023-12-26     77669.366944
2023-12-27     77676.553308
2023-12-28     77670.246867
2023-12-29     77590.712696
Length: 501, dtype: float64"
103,ewc,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99283.412760
2022-01-05     98387.838504
2022-01-06     97908.645229
2022-01-07     97577.819659
                  ...      
2023-12-22     83033.616675
2023-12-26     83494.056024
2023-12-27     83523.204060
2023-12-28     83604.581141
2023-12-29     83539.594348
Length: 501, dtype: float64"
103,ewc,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100738.253787
2022-01-05    100422.364843
2022-01-06    100628.491719
2022-01-07    101098.780250
                  ...      
2023-12-22     86830.161316
2023-12-26     87084.763347
2023-12-27     87070.983649
2023-12-28     87043.160028
2023-12-29     86879.158935
Length: 501, dtype: float64"
103,ewc,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99849.596559
2022-01-05     99060.155148
2022-01-06     98499.685946
2022-01-07     98242.360730
                  ...      
2023-12-22    102618.508387
2023-12-26    103003.917019
2023-12-27    103177.097344
2023-12-28    103416.869992
2023-12-29    103434.365148
Length: 501, dtype: float64"
103,ewc,DDPG,Group1,"2022-01-03    100000.000000
2022-01-04    100399.234351
2022-01-05     99874.809619
2022-01-06     99792.120140
2022-01-07    100302.465392
                  ...      
2023-12-22     99260.064258
2023-12-26     99565.029936
2023-12-27     99596.078767
2023-12-28     99746.827597
2023-12-29     99599.141546
Length: 501, dtype: float64"
103,ewc,DDPG,Group2,"2022-01-03    100000.000000
2022-01-04     99346.814178
2022-01-05     97960.360015
2022-01-06     97466.912254
2022-01-07     97166.377979
                  ...      
2023-12-22    102633.613494
2023-12-26    102978.019113
2023-12-27    103065.947429
2023-12-28    103169.605121
2023-12-29    103239.964051
Length: 501, dtype: float64"
103,replay,PPO,Group1,"2022-01-03    100000.000000
2022-01-04    100448.502898
2022-01-05     99480.130770
2022-01-06     99550.513380
2022-01-07     99774.453811
                  ...      
2023-12-22     81589.722110
2023-12-26     81748.182538
2023-12-27     81755.949540
2023-12-28     81798.536771
2023-12-29     81634.050194
Length: 501, dtype: float64"
103,replay,PPO,Group2,"2022-01-03    100000.000000
2022-01-04     99773.530870
2022-01-05     98829.523384
2022-01-06     98319.759540
2022-01-07     98097.765348
                  ...      
2023-12-22     83649.061293
2023-12-26     84191.938192
2023-12-27     84312.652311
2023-12-28     84393.876524
2023-12-29     84371.180108
Length: 501, dtype: float64"
103,replay,A2C,Group1,"2022-01-03    100000.000000
2022-01-04    100360.903527
2022-01-05     99698.170672
2022-01-06     99932.619460
2022-01-07    100143.215501
                  ...      
2023-12-22     83854.021853
2023-12-26     84151.345307
2023-12-27     84110.774271
2023-12-28     84072.515762
2023-12-29     83846.837690
Length: 501, dtype: float64"
103,replay,A2C,Group2,"2022-01-03    100000.000000
2022-01-04     99476.028143
2022-01-05     98233.004300
2022-01-06     97627.742884
2022-01-07     97165.176204
                  ...      
2023-12-22     85710.358847
2023-12-26     86044.350831
2023-12-27     86122.262384
2023-12-28     86286.365933
2023-12-29     86260.259801
Length: 501, dtype: float64"
